"Номер рейса","Дата рейса","Кол-во пасс. эконом","Кол-во компл. факт. эконом","Кол-во пасс. бизнес","Кол-во компл. факт. бизнес","Кол-во экипаж","Кол-во компл. факт. экипаж"
"697","2017-01-21 11:05:00","154","154","10","10","7","7"
"697","2017-01-22 11:05:00","147","152","1","1","7","7"
"697","2017-01-25 11:05:00","151","156","8","10","7","7"
"697","2017-01-28 11:05:00","146","154","12","12","7","7"
"697","2017-01-29 11:05:00","166","167","8","8","7","7"
"809","2017-01-14 21:45:00","123","128","2","1","6","6"
"811","2017-01-28 22:20:00","110","118","4","4","6","6"
"881","2017-01-01 10:40:00","153","154","9","11","7","7"
"881","2017-01-02 10:40:00","156","156","4","9","7","7"
"881","2017-01-03 10:40:00","147","154","11","12","7","8"
"881","2017-01-04 10:40:00","152","154","8","12","7","7"
"881","2017-01-05 10:40:00","153","154","8","12","7","7"
"881","2017-01-06 10:40:00","152","154","3","7","7","7"
"881","2017-01-07 10:40:00","152","164","3",,"7","6"
"881","2017-01-08 10:40:00","152","156","7","6","7","7"
"881","2017-01-09 10:40:00","106","106","3","4","7","7"
"881","2017-01-10 10:40:00","85","92","4","3","7","7"
"881","2017-01-11 10:40:00","53","56","4","5","7","7"
"881","2017-01-12 10:40:00","67","70","5","4","7","7"
"881","2017-01-13 10:40:00","66","73","1","2","7","7"
"881","2017-01-14 10:40:00","89","97","3","4","7","7"
"881","2017-01-15 10:40:00","84","92","6","5","7","7"
"881","2017-01-16 10:40:00","112","118","5","4","7","7"
"881","2017-01-17 10:40:00","127","129","6","5","7","7"
"881","2017-01-18 10:40:00","83","92","3","4","7","7"
"881","2017-01-19 10:40:00","95","101","3","1","7","7"
"881","2017-01-20 10:40:00","83","86","5","4","8","8"
"881","2017-01-21 10:40:00","135","145","9","7","7","7"
"881","2017-01-22 10:40:00","140","154","3","7","7","7"
"881","2017-01-23 10:40:00","84","93","7","4","7","6"
"881","2017-01-24 10:40:00","129","134","7","4","7","7"
"881","2017-01-25 10:40:00","146","156","6","4","7","7"
"881","2017-01-26 10:40:00","144","156","7","5","7","7"
"881","2017-01-27 10:40:00","151","154","4","2","6","6"
"881","2017-01-28 10:40:00","144","154","11","11","7","7"
"881","2017-01-29 10:40:00","161","168","8","7","7","7"
"881","2017-01-30 10:40:00","132","143","6","6","7","7"
"881","2017-01-31 10:40:00","135","138","8","6","7","7"
"883","2017-01-14 08:00:00","54","59","0",,"7","7"
"907","2017-01-02 01:45:00","153","166","11",,"6","6"
"907","2017-01-03 01:45:00","152","156","8","12","6","6"
"907","2017-01-04 01:45:00","167","168","7","8","6","6"
"907","2017-01-05 01:45:00","150","154","2","10","6","7"
"907","2017-01-06 01:45:00","147","154","0",,"6","6"
"907","2017-01-07 01:45:00","113","119","0",,"6","6"
"907","2017-01-08 01:45:00","102","110","0",,"6","6"
"907","2017-01-09 01:45:00","103","105","0",,"6","6"
"907","2017-01-10 01:45:00","129","142","0",,"6","6"
"907","2017-01-11 01:45:00","131","135","0","1","6","6"
"907","2017-01-12 01:45:00","137","143","0",,"6","6"
"907","2017-01-13 01:45:00","144","155","2","2","6","6"
"907","2017-01-14 01:45:00","148","150","1","1","6","6"
"907","2017-01-15 01:45:00","115","120","1","1","6","6"
"907","2017-01-16 01:45:00","135","145","0",,"6","6"
"907","2017-01-17 01:45:00","120","130","2","2","6","6"
"907","2017-01-18 01:45:00","106","106","1","1","6","6"
"907","2017-01-19 01:45:00","135","136","0",,"6","6"
"907","2017-01-20 01:45:00","117","120","0","2","6","6"
"907","2017-01-21 01:45:00","150","154","6","6","6","6"
"907","2017-01-22 01:45:00","95","103","3","3","6","6"
"907","2017-01-23 01:45:00","124","126","0",,"7","7"
"907","2017-01-25 01:45:00","114","119","4","4","6","6"
"907","2017-01-26 01:45:00","151","154","0",,"6","6"
"907","2017-01-27 01:45:00","151","155","0",,"6","6"
"907","2017-01-28 01:45:00","133","136","1","2","6","6"
"907","2017-01-29 01:45:00","104","109","1","1","6","6"
"925","2017-01-01 12:05:00","154","156","12","12","7","7"
"925","2017-01-02 12:05:00","168","168","8","8","7","7"
"925","2017-01-03 12:05:00","153","156","10","12","7","7"
"925","2017-01-05 12:05:00","149","163","10","10","7","7"
"925","2017-01-08 12:05:00","52","61","3","3","7","7"
"925","2017-01-09 12:05:00","42","43","1","1","7","7"
"925","2017-01-10 12:05:00","47","48","0","1","7","7"
"925","2017-01-12 12:05:00","48","51","2","1","7","7"
"925","2017-01-14 12:05:00","46","47","2","2","7","7"
"925","2017-01-15 12:05:00","64","67","2","2","7","7"
"925","2017-01-19 12:05:00","67","71","3","3","7","7"
"925","2017-01-21 12:05:00","70","72","3","4","7","7"
"925","2017-01-22 12:05:00","65","68","0",,"7","7"
"925","2017-01-26 12:05:00","137","142","5","4","7","7"
"925","2017-01-28 12:05:00","65","69","2","2","7","7"
"925","2017-01-29 12:05:00","74","79","1","1","7","7"
"967","2017-01-01 23:25:00","165","168","6","8","7","7"
"967","2017-01-02 23:25:00","168","168","5","8","7","7"
"967","2017-01-03 23:25:00","168","176","4",,"7","7"
"967","2017-01-04 23:25:00","166","168","7","8","7","7"
"967","2017-01-05 23:25:00","160","168","2","8","7","7"
"967","2017-01-06 23:25:00","164","176","8",,"7","7"
"967","2017-01-07 23:25:00","164","176","8",,"7","8"
"967","2017-01-08 23:25:00","167","176","8",,"7","7"
"967","2017-01-09 23:25:00","168","176","5",,"7","7"
"967","2017-01-10 23:25:00","165","176","6","1","7","7"
"967","2017-01-11 23:25:00","162","173","0",,"7","7"
"967","2017-01-12 23:25:00","154","168","12",,"7","7"
"967","2017-01-13 23:25:00","159","176","8",,"7","7"
"967","2017-01-14 23:25:00","166","176","7",,"7","7"
"967","2017-01-15 23:25:00","165","176","0",,"7","7"
"967","2017-01-16 23:25:00","155","157","6","12","8","7"
"967","2017-01-17 23:25:00","138","143","0",,"7","7"
"967","2017-01-18 23:25:00","156","158","2",,"7","7"
"967","2017-01-19 23:25:00","124","127","0",,"7","7"
"967","2017-01-20 23:25:00","167","176","2",,"7","7"
"967","2017-01-21 23:25:00","123","126","0",,"7","7"
"967","2017-01-22 23:25:00","151","157","0",,"7","7"
"967","2017-01-23 23:25:00","122","132","0",,"7","7"
"967","2017-01-24 23:25:00","99","102","0",,"7","7"
"967","2017-01-25 23:25:00","166","168","0",,"7","7"
"967","2017-01-26 23:25:00","81","84","0",,"7","7"
"967","2017-01-27 23:25:00","123","125","0",,"7","7"
"967","2017-01-28 23:25:00","112","113","0",,"7","7"
"967","2017-01-29 23:25:00","129","131","0",,"7","7"
"967","2017-01-30 23:25:00","165","167","0",,"7","7"
"967","2017-01-31 23:25:00","127","128","0",,"7","7"
"987","2017-01-03 21:20:00","155","168","12",,"7","7"
"987","2017-01-07 21:20:00","153","168","8",,"8","7"
"987","2017-01-10 21:20:00","152","162","0","1","7","7"
"987","2017-01-14 21:20:00","152","166","6",,"7","7"
"987","2017-01-17 21:20:00","120","122","0",,"7","7"
"987","2017-01-21 21:20:00","103","110","0",,"7","7"
"987","2017-01-24 21:20:00","61","64","0",,"7","7"
"987","2017-01-28 21:20:00","101","108","0",,"7","7"
"987","2017-01-31 21:20:00","40","43","0",,"7","7"
"991","2017-01-01 13:00:00","168","168","5","8","7","7"
"991","2017-01-02 13:00:00","154","168","5","8","7","7"
"991","2017-01-04 13:00:00","167","172","3",,"7","7"
"991","2017-01-05 13:00:00","167","168","7","8","7","7"
"991","2017-01-06 13:00:00","168","176","5","8","7","7"
"991","2017-01-07 13:00:00","166","168","7","8","7","7"
"991","2017-01-08 13:00:00","168","168","8","8","7","7"
"991","2017-01-09 13:00:00","168","168","6","8","7","7"
"991","2017-01-11 13:00:00","160","166","1","2","7","7"
"991","2017-01-12 13:00:00","103","108","5","5","7","7"
"991","2017-01-13 13:00:00","76","77","0",,"7","7"
"991","2017-01-14 13:00:00","106","111","2","2","7","7"
"991","2017-01-15 13:00:00","138","147","4","3","7","7"
"991","2017-01-16 13:00:00","73","73","0",,"7","7"
"991","2017-01-18 13:00:00","53","63","3","2","7","7"
"991","2017-01-19 13:00:00","73","77","1","1","7","7"
"991","2017-01-20 13:00:00","108","110","1",,"7","7"
"991","2017-01-21 13:00:00","104","110","4","4","7","7"
"991","2017-01-22 13:00:00","154","156","11","12","7","7"
"991","2017-01-23 13:00:00","85","94","3","3","7","7"
"991","2017-01-25 13:00:00","81","90","7","3","7","7"
"991","2017-01-26 13:00:00","106","114","6","5","7","7"
"991","2017-01-27 13:00:00","136","144","5","3","7","7"
"991","2017-01-28 13:00:00","129","140","6","2","7","7"
"991","2017-01-29 13:00:00","124","127","4","5","7","7"
"991","2017-01-30 13:00:00","65","70","2","2","7","7"
"1023","2017-01-01 13:55:00","153","156","12","12","7","7"
"1023","2017-01-02 13:55:00","153","156","12","12","7","7"
"1023","2017-01-03 13:55:00","154","156","12","12","7","7"
"1023","2017-01-04 13:55:00","151","154","12","12","7","7"
"1023","2017-01-05 13:55:00","126","126","3","3","7","7"
"1023","2017-01-06 13:55:00","94","107","4",,"7","7"
"1023","2017-01-07 13:55:00","70","75","5","5","7","7"
"1023","2017-01-08 13:55:00","102","106","3","2","7","7"
"1023","2017-01-09 13:55:00","60","63","1","1","7","7"
"1023","2017-01-10 13:55:00","154","162","7","8","7","7"
"1023","2017-01-11 13:55:00","75","83","0","1","8","8"
"1023","2017-01-12 13:55:00","115","118","2","2","7","7"
"1023","2017-01-13 13:55:00","117","121","3","4","6","6"
"1023","2017-01-14 13:55:00","75","80","1","1","6","6"
"1023","2017-01-15 13:55:00","142","142","4","4","7","7"
"1023","2017-01-16 13:55:00","85","92","3","2","6","6"
"1023","2017-01-17 13:55:00","58","62","0",,"6","6"
"1023","2017-01-18 13:55:00","57","59","2","1","6","6"
"1023","2017-01-19 13:55:00","76","82","5","4","7","7"
"1023","2017-01-20 13:55:00","128","133","9","4","6","6"
"1023","2017-01-22 13:55:00","146","162","4",,"7","7"
"1023","2017-01-23 13:55:00","76","80","0",,"6","6"
"1023","2017-01-24 13:55:00","83","87","0",,"6","6"
"1023","2017-01-27 13:55:00","154","156","9","12","7","7"
"1023","2017-01-28 13:55:00","152","154","12","12","7","7"
"1023","2017-01-29 13:55:00","148","154","5","6","7","7"
"1023","2017-01-31 13:55:00","107","112","1","1","6","6"
"1025","2017-01-01 07:30:00","151","156","12","12","6","7"
"1025","2017-01-02 07:30:00","153","156","12","12","7","7"
"1025","2017-01-03 07:30:00","150","156","12","12","7","7"
"1025","2017-01-04 07:30:00","151","154","10","13","7","6"
"1025","2017-01-05 07:30:00","108","120","8","8","6","6"
"1025","2017-01-06 07:30:00","80","102","11","12","7","7"
"1025","2017-01-07 07:30:00","35","38","1","1","7","7"
"1025","2017-01-08 07:30:00","38","42","0",,"7","7"
"1025","2017-01-10 07:30:00","77","82","5","6","7","7"
"1025","2017-01-11 07:30:00","69","69","0","1","6","6"
"1025","2017-01-12 07:30:00","56","61","2","2","6","6"
"1025","2017-01-13 07:30:00","72","80","3","3","6","6"
"1025","2017-01-14 07:30:00","122","129","0",,"6","6"
"1025","2017-01-15 07:30:00","33","36","0",,"7","7"
"1025","2017-01-16 07:30:00","116","117","1","1","6","6"
"1025","2017-01-17 07:30:00","75","77","2","2","6","6"
"1025","2017-01-18 07:30:00","57","71","4","4","6","6"
"1025","2017-01-19 07:30:00","77","81","1","1","6","6"
"1025","2017-01-20 07:30:00","146",,"7","2","6",
"1025","2017-01-21 07:30:00","151","156","6","6","6","7"
"1025","2017-01-22 07:30:00","93","100","0",,"6","6"
"1025","2017-01-23 07:30:00","97","102","1","1","8","8"
"1025","2017-01-24 07:30:00","84","90","0",,"6","6"
"1025","2017-01-25 07:30:00","135","147","2","2","6","6"
"1025","2017-01-26 07:30:00","153","154","12","12","7","7"
"1025","2017-01-27 07:30:00","151","154","10","12","7","7"
"1025","2017-01-28 07:30:00","156","156","8","12","6","6"
"1025","2017-01-29 07:30:00","152","165","10","11","6","6"
"1025","2017-01-31 07:30:00","141","144","0",,"6","6"
"1027","2017-01-02 17:00:00","151","153","11","11","7","7"
"1027","2017-01-03 17:00:00","151","156","11","12","7","7"
"1027","2017-01-04 17:00:00","156","156","10","12","7","7"
"1027","2017-01-05 17:00:00","92","97","2","2","6","6"
"1027","2017-01-06 17:00:00","65","74","3","2","6","6"
"1027","2017-01-07 17:00:00","62","62","0",,"6","7"
"1027","2017-01-08 17:00:00","56","60","3","5","6","6"
"1027","2017-01-09 17:00:00","51","54","2","2","6","6"
"1027","2017-01-10 17:00:00","64","69","7","7","6","6"
"1027","2017-01-11 17:00:00","73","76","6","7","6","6"
"1027","2017-01-12 17:00:00","64","65","2","1","7","7"
"1027","2017-01-13 17:00:00","76","80","4","6","6","6"
"1027","2017-01-14 17:00:00","84","88","4","3","7","7"
"1027","2017-01-15 17:00:00","64","76","4","1","7","7"
"1027","2017-01-16 17:00:00","71","73","1","1","6","6"
"1027","2017-01-17 17:00:00","40","40","2","3","6","6"
"1027","2017-01-19 17:00:00","108","122","11","2","6","6"
"1027","2017-01-20 17:00:00","146","156","12","12","7","7"
"1027","2017-01-21 17:00:00","114","118","5","5","6","6"
"1027","2017-01-22 17:00:00","145","152","3","4","7","7"
"1027","2017-01-23 17:00:00","108","119","2","2","6","6"
"1027","2017-01-24 17:00:00","100","103","4","4","7","7"
"1027","2017-01-25 17:00:00","138","148","6","6","6","6"
"1027","2017-01-26 17:00:00","151","156","11","12","7","7"
"1027","2017-01-27 17:00:00","154","156","11","12","7","7"
"1027","2017-01-28 17:00:00","152","154","5","12","7","7"
"1027","2017-01-29 17:00:00","132","142","0",,"7","7"
"1027","2017-01-30 17:00:00","74","76","1","1","7","7"
"1027","2017-01-31 17:00:00","133","140","2","2","7","7"
"1029","2017-01-28 19:40:00","154","165","10","10","6","6"
"1029","2017-01-29 19:40:00","114","116","2","2","6","6"
"1029","2017-01-30 19:40:00","97","105","4","4","6","6"
"1029","2017-01-31 19:40:00","94","98","4","3","6","6"
"1031","2017-01-03 10:55:00","146","154","12","12","7","7"
"1031","2017-01-04 10:55:00","156","156","9","12","7","7"
"1031","2017-01-05 10:55:00","91","104","3","3","7","7"
"1031","2017-01-06 10:55:00","99","91","3","1","7","7"
"1031","2017-01-30 10:55:00","89","95","7","5","6","6"
"1031","2017-01-31 10:55:00","79","80","0",,"6","6"
"1123","2017-01-01 14:55:00","156","156","9","11","7","7"
"1123","2017-01-02 14:55:00","156","167","2",,"6","6"
"1123","2017-01-03 14:55:00","164","168","4","8","7","7"
"1123","2017-01-05 14:55:00","167","168","5","8","7","7"
"1123","2017-01-06 14:55:00","152","166","12",,"7","7"
"1123","2017-01-10 14:55:00","167","168","4","9","7","6"
"1123","2017-01-11 14:55:00","142","142","1","2","7","7"
"1123","2017-01-13 14:55:00","89","90","2","3","6","6"
"1123","2017-01-17 14:55:00","139","142","2","1","6","6"
"1123","2017-01-19 14:55:00","80","83","2","3","6","6"
"1123","2017-01-23 14:55:00","100","103","3","3","7","7"
"1123","2017-01-24 14:55:00","79","81","1","1","6","6"
"1123","2017-01-25 14:55:00","90","93","1","2","6","6"
"1123","2017-01-26 14:55:00","77","80","5","4","7","7"
"1123","2017-01-27 14:55:00","90","95","1","1","7","7"
"1123","2017-01-30 14:55:00","92","93","0",,"7","7"
"1123","2017-01-31 14:55:00","105","109","2","2","6","6"
"1141","2017-01-14 23:40:00","143","149","9","9","7","7"
"1141","2017-01-30 23:40:00","138","148","5","5","7","7"
"1143","2017-01-01 16:45:00","168","176","8",,"7","7"
"1143","2017-01-02 16:45:00","153","166","8",,"7","7"
"1143","2017-01-03 16:45:00","156","156","12","9","7","7"
"1143","2017-01-04 16:45:00","154","166","10","10","7","7"
"1143","2017-01-05 16:45:00","150","168","10","10","7","7"
"1143","2017-01-06 16:45:00","163","176","3",,"7","7"
"1143","2017-01-07 16:45:00","156","168","12",,"6","6"
"1143","2017-01-08 16:45:00","155","156","12","12","7","7"
"1143","2017-01-09 16:45:00","154","164","9",,"6","6"
"1143","2017-01-10 16:45:00","146","147","7","8","7","7"
"1143","2017-01-11 16:45:00","154","154","7","7","7","7"
"1143","2017-01-12 16:45:00","146","154","5","10","7","7"
"1143","2017-01-13 16:45:00","127","141","9","4","7","7"
"1143","2017-01-15 16:45:00","147","154","8","5","7","7"
"1143","2017-01-16 16:45:00","148","151","4","2","7","7"
"1143","2017-01-17 16:45:00","81","82","3","3","6","6"
"1143","2017-01-18 16:45:00","117","121","4","4","6","6"
"1143","2017-01-19 16:45:00","102","102","3","3","6","6"
"1143","2017-01-20 16:45:00","162","169","6","6","7","7"
"1143","2017-01-21 16:45:00","92","99","4","4","6","6"
"1143","2017-01-22 16:45:00","151","160","3",,"7","7"
"1143","2017-01-23 16:45:00","112","114","4","2","6","7"
"1143","2017-01-24 16:45:00","121","16","2",,"6",
"1143","2017-01-25 16:45:00","110","112","2","2","6","6"
"1143","2017-01-26 16:45:00","152","154","6","4","6","6"
"1143","2017-01-27 16:45:00","160","166","8","6","7","7"
"1143","2017-01-28 16:45:00","88","90","0","2","5","5"
"1143","2017-01-29 16:45:00","137","141","1","1","7","7"
"1143","2017-01-30 16:45:00","113","113","2",,"6","6"
"1143","2017-01-31 16:45:00","112","115","3","3","6","6"
"1145","2017-01-01 12:05:00","150","165","6","6","7","7"
"1145","2017-01-02 12:05:00","167","168","5","8","7","7"
"1145","2017-01-03 12:05:00","157","168","7","8","7","7"
"1145","2017-01-04 12:05:00","168","168","7","4","8","8"
"1145","2017-01-06 12:05:00","154","154","12","12","7","7"
"1145","2017-01-07 12:05:00","154","156","12","12","7","7"
"1145","2017-01-09 12:05:00","154","154","11","12","7","7"
"1145","2017-01-10 12:05:00","166","168","8","9","7","7"
"1145","2017-01-11 12:05:00","163","168","1","1","7","6"
"1145","2017-01-12 12:05:00","137","140","0",,"8","8"
"1145","2017-01-13 12:05:00","155","156","7","6","7","7"
"1145","2017-01-14 12:05:00","155","161","2","2","7","7"
"1145","2017-01-15 12:05:00","151","156","4","2","7","7"
"1145","2017-01-16 12:05:00","153","154","3","8","7","7"
"1145","2017-01-17 12:05:00","105","106","3","4","6","6"
"1145","2017-01-18 12:05:00","115","116","2","2","7","7"
"1145","2017-01-19 12:05:00","109","112","1","1","6","6"
"1145","2017-01-20 12:05:00","160","161","2","2","8","8"
"1145","2017-01-22 12:05:00","152","153","0",,"7","7"
"1145","2017-01-23 12:05:00","113","115","3","3","7","7"
"1145","2017-01-24 12:05:00","108","109","0",,"6","6"
"1145","2017-01-25 12:05:00","107","108","7","8","6","6"
"1145","2017-01-26 12:05:00","127","129","1","1","6","6"
"1145","2017-01-27 12:05:00","155","156","3","2","7","7"
"1145","2017-01-28 12:05:00","163","176","3","3","6","6"
"1145","2017-01-29 12:05:00","153","154","10","12","7","7"
"1145","2017-01-30 12:05:00","98","106","1","1","6","6"
"1145","2017-01-31 12:05:00","79","86","2","1","6","6"
"1147","2017-01-02 08:45:00","156","156","8","8","7","7"
"1147","2017-01-09 08:45:00","154","166","8",,"8","8"
"1147","2017-01-30 08:45:00","149","156","5","5","7","7"
"1149","2017-01-01 18:35:00","162","176","6",,"6","6"
"1149","2017-01-02 18:35:00","168","175","2",,"6","6"
"1149","2017-01-03 18:35:00","164","176","6",,"6","7"
"1149","2017-01-04 18:35:00","167","168","7","8","7","7"
"1149","2017-01-05 18:35:00","165","176","6",,"6","6"
"1149","2017-01-06 18:35:00","153","154","11","12","6","6"
"1149","2017-01-07 18:35:00","155","166","12","12","7","7"
"1213","2017-01-01 09:05:00","151","168","12","12","6","6"
"1213","2017-01-02 09:05:00","143","154","10","7","7","7"
"1213","2017-01-03 09:05:00","152","154","10","11","7","7"
"1213","2017-01-04 09:05:00","152","156","10","11","7","7"
"1213","2017-01-05 09:05:00","154","164","6",,"7","7"
"1213","2017-01-06 09:05:00","151","154","4","12","8","8"
"1213","2017-01-07 09:05:00","168","175","7",,"7","7"
"1213","2017-01-08 09:05:00","152","161","4",,"7","7"
"1213","2017-01-09 09:05:00","137","150","6","1","7","7"
"1213","2017-01-10 09:05:00","152","156","5","9","7","7"
"1213","2017-01-11 09:05:00","131","137","4","2","6","6"
"1213","2017-01-12 09:05:00","143","145","0",,"7","7"
"1213","2017-01-13 09:05:00","118","122","0",,"7","7"
"1213","2017-01-14 09:05:00","125","126","3","4","7","7"
"1213","2017-01-15 09:05:00","115","121","8","7","7","8"
"1213","2017-01-16 09:05:00","144","153","3",,"7","7"
"1213","2017-01-17 09:05:00","95","95","0",,"8","8"
"1213","2017-01-18 09:05:00","107","107","2","2","6","6"
"1213","2017-01-19 09:05:00","104","106","2","1","7","7"
"1213","2017-01-20 09:05:00","108","115","1",,"6","6"
"1213","2017-01-21 09:05:00","154","166","7",,"6","6"
"1213","2017-01-22 09:05:00","140","144","2","2","6","6"
"1213","2017-01-23 09:05:00","98","104","4","2","7","7"
"1213","2017-01-24 09:05:00","88","92","0",,"6","6"
"1213","2017-01-25 09:05:00","138","141","0",,"7","7"
"1213","2017-01-26 09:05:00","152","156","6","2","7","7"
"1213","2017-01-27 09:05:00","153","154","11","12","8","8"
"1213","2017-01-28 09:05:00","150","154","11","12","7","7"
"1213","2017-01-29 09:05:00","166","176","1","1","7","7"
"1213","2017-01-30 09:05:00","167","168","8","8","7","7"
"1213","2017-01-31 09:05:00","148","156","1","1","7","6"
"1215","2017-01-13 16:45:00","135","146","2","1","6","6"
"2251","2017-01-01 23:15:00","23","26","0",,"7","7"
"2251","2017-01-02 23:15:00","61","61","0",,"6","6"
"2251","2017-01-03 23:15:00","84","91","2","3","6","6"
"2251","2017-01-04 23:15:00","112","117","2","2","6","6"
"2251","2017-01-05 23:15:00","154","158","2","2","6","6"
"2251","2017-01-06 23:15:00","145","149","3","3","6","6"
"2251","2017-01-08 23:15:00","143","146","10","9","6","6"
"2251","2017-01-09 23:15:00","154","154","8","9","6","6"
"2251","2017-01-10 23:15:00","154","154","12","13","6","6"
"2251","2017-01-11 23:15:00","152","154","4","5","6","6"
"2251","2017-01-12 23:15:00","152","167","10","10","6","6"
"2251","2017-01-13 23:15:00","154","154","10","12","6","6"
"2251","2017-01-15 23:15:00","154","154","5","8","6","6"
"2251","2017-01-16 23:15:00","145","156","8","8","6","6"
"2251","2017-01-17 23:15:00","149","154","5","5","6","6"
"2251","2017-01-18 23:15:00","164","168","3","4","6","6"
"2251","2017-01-19 23:15:00","126","131","3","1","6","6"
"2251","2017-01-20 23:15:00","161","168","8","8","6","6"
"2251","2017-01-22 23:15:00","158","160","8","8","6","6"
"2251","2017-01-23 23:15:00","166","168","6","7","6","7"
"2251","2017-01-24 23:15:00","142","156","7","8","6","6"
"2251","2017-01-25 23:15:00","142","143","2","2","6","6"
"2251","2017-01-27 23:15:00","166","174","1","1","6","6"
"2251","2017-01-29 23:15:00","164","168","4","4","6","6"
"2251","2017-01-31 23:15:00","121","132","5","6","10","10"
"9187","2017-01-07 05:45:00","0",,"0",,"8","8"
"9189","2017-01-07 12:30:00","144","161","11","11","7","7"
"9189","2017-01-14 12:30:00","0","166","0",,"8","8"
"9189","2017-01-21 12:30:00","0","154","0","10","7","7"
"9189","2017-01-28 12:30:00","0","166","0","10","8","8"
